Storm ID,Name,Year,Landfall Code,Coastal Counties within RMW,State,FIPS Code,Landfall Population,2022 Population,Landfalling Housing Units,2022 Housing Units
AL182005,Rita,2005,LF1,Cameron Parish,LA,22023,9576,4902,4775,4018
AL182005,Rita,2005,LF1,Chambers County,TX,48071,28035,51288,11992,19198
AL182005,Rita,2005,LF1,Jefferson County,TX,48245,246063,250830,103440,110170
AL182005,Rita,2005,LF1_Total,Total First ,,,283674,307020,120207,133386
AL092008,Ike,2008,LF1,Cameron Parish,LA,22023,7100,4902,3690,4018
AL092008,Ike,2008,LF1,Brazoria County,TX,48039,301228,388181,115347,150595
AL092008,Ike,2008,LF1,Chambers County,TX,48071,29366,51288,12935,19198
AL092008,Ike,2008,LF1,Galveston County,TX,48167,288489,357117,130893,162101
AL092008,Ike,2008,LF1,Harris County,TX,48201,3980602,4780913,1566929,1917799
AL092008,Ike,2008,LF1,Jefferson County,TX,48245,242201,250830,102909,110170
AL092008,Ike,2008,LF1,Matagorda County,TX,48321,37038,36125,18846,19223
AL092008,Ike,2008,LF1_Total,Total First ,,,4886024,5869356,1951549,2383104
AL072008,Gustav,2008,LF1,Jefferson Parish,LA,22051,444655,425884,187269,194761
AL072008,Gustav,2008,LF1,Lafourche Parish,LA,22057,93556,95870,37861,41826
AL072008,Gustav,2008,LF1,Plaquemines Parish,LA,22075,21138,22516,9314,9793
AL072008,Gustav,2008,LF1,St. Mary Parish,LA,22101,51005,47789,22868,22557
AL072008,Gustav,2008,LF1,Terrebonne Parish,LA,22109,109161,104786,43597,47808
AL072008,Gustav,2008,LF1_Total,Total First ,,,719515,696845,300909,316745
AL092011,Irene,2011,LF1,Beaufort County,NC,37013,47685,44272,24899,24539
AL092011,Irene,2011,LF1,Bertie County,NC,37015,20855,17240,9768,8989
AL092011,Irene,2011,LF1,Brunswick County,NC,37019,110196,153064,78770,98132
AL092011,Irene,2011,LF1,Carteret County,NC,37031,67432,69380,48350,52199
AL092011,Irene,2011,LF1,Craven County,NC,37049,104866,100874,45491,47777
AL092011,Irene,2011,LF1,Dare County,NC,37055,34161,37956,33613,35267
AL092011,Irene,2011,LF1,Hyde County,NC,37095,5798,4576,3353,3167
AL092011,Irene,2011,LF1,New Hanover County,NC,37129,206006,234921,101921,120181
AL092011,Irene,2011,LF1,Onslow County,NC,37133,185068,207298,70970,87540
AL092011,Irene,2011,LF1,Pamlico County,NC,37137,13242,12381,7578,7311
AL092011,Irene,2011,LF1,Pender County,NC,37141,53180,65737,26879,31765
AL092011,Irene,2011,LF1,Tyrrell County,NC,37177,4336,3365,2069,2010
AL092011,Irene,2011,LF1,Washington County,NC,37187,12904,10828,6473,6048
AL092011,Irene,2011,LF1_Total,Total First ,,,865729,961892,460134,524925
,,,,,,,,,,
AL182012,Sandy,2012,LF1,Union County,NJ,34039,542977,569815,200429,211919
AL182012,Sandy,2012,LF1,Hudson County,NJ,34017,652373,703366,273320,319636
AL182012,Sandy,2012,LF1,Essex County,NJ,34013,785092,849477,313364,336552
AL182012,Sandy,2012,LF1,Atlantic,NJ,34001,"274,657",275638,"127,266","132,147"
AL182012,Sandy,2012,LF1,Cape May,NJ,34009,"96,267",95634,"98,700","99,422"
AL182012,Sandy,2012,LF1,Cumberland County,NJ,34011,"156,862","151,356","56,165","57,258"
AL182012,Sandy,2012,LF1,Middlesex County,NJ,34023,"819,389","861,418","297,035","317,338"
AL182012,Sandy,2012,LF1,Monmouth County,NJ,34025,"627,682","644,098","259,396","270,238"
AL182012,Sandy,2012,LF1,Ocean County,NJ,34029,"580,013","655,735","280,558","295,648"
AL182012,Sandy,2012,LF1,Salem County,NJ,34033,"65,427","65,117","27,612","27,736"
AL182012,Sandy,2012,LF1_Total,Total First ,,,4600739,4871654,1933845,2067894
AL182012,Sandy,2012,ID1,New York Total,NY,,"19,574,362","19,677,151","8,172,280","8,586,228"
AL182012,Sandy,2012,ID2,Connecticut Total,CT,,"3,595,211","3,566,022","1,494,242","1,536,344"
AL142016,Matthew,2016,LF1,Charleston,SC,45019,"397,433",419279,"184,324","209,594"
AL142016,Matthew,2016,LF1,Georgetown,SC,45043,"61,609",64722,"34,932","37,350"
AL142016,Matthew,2016,LF1,Horry County,SC,45051,321542,383101,201342,217330
AL142016,Matthew,2016,LF1_Total,Total First ,,,"459,042",484001,"219,256","246,944"
AL092017,Harvey,2017,LF1,"Nueces, Texas",TX,48355,361328,351674,149493,154633
AL092017,Harvey,2017,LF1,"Refugio, Texas",TX,48391,7178,6632,3733,3378
AL092017,Harvey,2017,LF1,"San Patricio, Texas",TX,48409,67221,69954,28445,30506
AL092017,Harvey,2017,LF1,Aransas,TX,48007,"25,421",24944,"16,389","16,031"
AL092017,Harvey,2017,LF1,Calhoun,TX,48057,"21,716",19706,"12,017","10,863"
