Storm ID,Storm Name,Landfall_ID_Muller,BE Damage_Grinsted_2019,BE Damage_Weinkle_2018,Monthly Weather Review ,Damage Description Monthly Weather Review,  BE Damage_Muller et al,Updates from NCEI (obtained May 2024),Damage details if available_Muller et al_dataset,Loss States_Muller,Reference for Muller et al. dataset,DOI for Muller et al. dataset,Direct Link (if DOI is unavailable)
AL031965,Betsy,LF2,"1,280,500,000",1420000000 TOTAL,"1,200,000,000","Louisiana $1,200,000,000; Mississippi $80,000,000, Alabama $500,000, ","1,200,000,000",NA,"Louisiana $1,200,000,000; Mississippi $80,000,000, Alabama $500,000, ","LA, MS, AL","Sugg, A. L., 1966: The Hurricane Season of 1965. Monthly Weather Review, 94, 183–191,",https://doi.org/10.1175/1520-0493(1966)094<0183:THSO>2.3.CO;2,
AL091969,Camille,LF1,"1,421,000,000","1,421,000,000","950,000,000","950,000,000 in MS","950,000,000",NA,"950,000,000 in MS",MS,"Simpson, R.H, Sugg, A.L and Staff. The Atlantic Hurricane Season of 1969, Monthly Weather Review, Weather Bureau Office Miami, Fla. March1970. Vol 98, No.4, pp. 300",https://doi.org/10.1175/1520-0493(1970)098<0293:TAHSO>2.3.CO;2,
AL091969,Camille,ID1,None,None,"322,000,000","322,000,000 in LA","322,000,000",NA,"322,000,000 in LA",LA,"Simpson, R.H, Sugg, A.L and Staff. The Atlantic Hurricane Season of 1969, Monthly Weather Review, Weather Bureau Office Miami, Fla. March1970. Vol 98, No.4, pp. 300",,
AL091969,Camille,DIL1,None,None,"140,000,000","140,000,000 in VA","140,000,000",NA,"140,000,000 in VA",VA,"Simpson, R.H, Sugg, A.L and Staff. The Atlantic Hurricane Season of 1969, Monthly Weather Review, Weather Bureau Office Miami, Fla. March1970. Vol 98, No.4, pp. 300",,
AL091969,Camille,DIL2,None ,None,"8,000,000","8,000,000 AL","8,000,000",NA,"8,000,000 AL",AL,"Simpson, R.H, Sugg, A.L and Staff. The Atlantic Hurricane Season of 1969, Monthly Weather Review, Weather Bureau Office Miami, Fla. March1970. Vol 98, No.4, pp. 300",,
AL091969,Camille,DIL3,None,None,"750,000","750,000 in WV","750,000",NA,"750,000 in WV",WV,"Simpson, R.H, Sugg, A.L and Staff. The Atlantic Hurricane Season of 1969, Monthly Weather Review, Weather Bureau Office Miami, Fla. March1970. Vol 98, No.4, pp. 300",,
AL041970,Celia,LF1,"454,000,000","454,000,000","453,700,000","Texas $444.9 million, with an additional $8.8 million in crop damage","453,700,000",NA,"Texas $444.9 million, with an additional $8.8 million in crop damage",TX,"Simpson, R.H, Pelissier J. and Staff. The Atlantic Hurricane Season of 1970, Monthly Weather Review, Weather Bureau Office Miami, Fla. April 1971. Vol 99, No.4, pp. 275",https://doi.org/10.1175/1520-0493(1971)099<0269:AHSO>2.3.CO;2,
AL021972,Agnes,LF1,"100,000,000",None,NA,NA,"8,243,000",NA,"8,243,000 in FL",FL,"Bailey, J.F. and Patterson, J., 1975, Hurricane Agnes rainfall and floods, June-July, 1972 U.S. Geological Survey and J. H. Paulhus, National Weather Service, National Oceanic and Atmospheric Administration, Report prepared jointly by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration, 924 pp 83",Not available ,
AL021972,Agnes,DIL1,None,None,NA,NA,"205,000",NA,"205,000 in GA",GA,"Bailey, J.F. and Patterson, J., 1975, Hurricane Agnes rainfall and floods, June-July, 1972 U.S. Geological Survey and J. H. Paulhus, National Weather Service, National Oceanic and Atmospheric Administration, Report prepared jointly by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration, 924 pp 84",Not available ,
AL021972,Agnes,DIL2,None,None,NA,NA,"50,000",NA,"50,000 in SC",SC,"Bailey, J.F. and Patterson, J., 1975, Hurricane Agnes rainfall and floods, June-July, 1972 U.S. Geological Survey and J. H. Paulhus, National Weather Service, National Oceanic and Atmospheric Administration, Report prepared jointly by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration, 924 pp 85",Not available ,
AL021972,Agnes,DIL3,None,None,NA,NA,"6,558,380",NA,"6,558,380 in NC",NC,"Bailey, J.F. and Patterson, J., 1975, Hurricane Agnes rainfall and floods, June-July, 1972 U.S. Geological Survey and J. H. Paulhus, National Weather Service, National Oceanic and Atmospheric Administration, Report prepared jointly by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration, 924 pp 86",Not available ,
AL021972,Agnes,ID1,None,None,NA,NA,"125,987,000",NA,"125,987,000 in VA",VA,"Bailey, J.F. and Patterson, J., 1975, Hurricane Agnes rainfall and floods, June-July, 1972 U.S. Geological Survey and J. H. Paulhus, National Weather Service, National Oceanic and Atmospheric Administration, Report prepared jointly by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration, 924 pp 87",Not available ,
AL021972,Agnes,ID2,None,None,NA,NA,"7,753,000",NA,"7,753,000 in WV",WV,"Bailey, J.F. and Patterson, J., 1975, Hurricane Agnes rainfall and floods, June-July, 1972 U.S. Geological Survey and J. H. Paulhus, National Weather Service, National Oceanic and Atmospheric Administration, Report prepared jointly by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration, 924 pp 88",Not available ,
AL021972,Agnes,ID3,None,None,NA,NA,"6,818,000",NA,"6,818,000 in OH",OH,"Bailey, J.F. and Patterson, J., 1975, Hurricane Agnes rainfall and floods, June-July, 1972 U.S. Geological Survey and J. H. Paulhus, National Weather Service, National Oceanic and Atmospheric Administration, Report prepared jointly by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration, 924 pp 89",Not available ,
AL021972,Agnes,ID4,None,None,NA,NA,"110,186,000",NA,"110,186,000 in MD",MD,"Bailey, J.F. and Patterson, J., 1975, Hurricane Agnes rainfall and floods, June-July, 1972 U.S. Geological Survey and J. H. Paulhus, National Weather Service, National Oceanic and Atmospheric Administration, Report prepared jointly by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration, 924 pp 90",Not available ,
AL021972,Agnes,LF2,None,None,NA,NA,"15,000,000",NA,"15,000,000 in NJ",NJ,"Bailey, J.F. and Patterson, J., 1975, Hurricane Agnes rainfall and floods, June-July, 1972 U.S. Geological Survey and J. H. Paulhus, National Weather Service, National Oceanic and Atmospheric Administration, Report prepared jointly by the U.S. Geological Survey and the National Oceanic and Atmospheric Administration, 924 pp 91",Not available ,
